,new_utt,intent,original_utt
0,I am not even logged in after I set my password via email. I do not have my email address and will not be able to log in to my bank account again after I set the password through VPN.,account_information,i did not get any email confirmation and cannot log in to my account with <email>
1,What are the reasons why we cannot log in our account without confirmation?,account_information,i did not get any email confirmation and cannot log in to my account with <email>
2,"The login is revoked I don't get any email confirmation, can I log in and if I do i wont get a login email i can't log in to account?",account_information,i did not get any email confirmation and cannot log in to my account with <email>
3,Email authentication works but when did I get my confirmation email?,account_information,i did not get any email confirmation and cannot log in to my account with <email>
4,"I did not register my email, was it deleted?",account_information,Can you check if I registered the correct email address <email>
5,Can you check if I registered the correct email email>? YES I registered the email address email>,account_information,Can you check if I registered the correct email address <email>
6,Can you see if I register my email address correctly?,account_information,Can you check if I registered the correct email address <email>
7,Can I check if I registered the correct email address?,account_information,Can you check if I registered the correct email address <email>
8,How can I get my current account back if I was locked out?,account_information,"I am locked out of my account, can you help?"
9,How do I get my account locked out through AOL POSITIVE?,account_information,"I am locked out of my account, can you help?"
10,"I accidentally locked out my Instagram account, can anyone help me?",account_information,"I am locked out of my account, can you help?"
11,"I locked out my account, can you help me?",account_information,"I am locked out of my account, can you help?"
12,How can we recover my password to Facebook if I don't remember my password or I forgot my password?,account_information,"I forgot my login information, can you help?"
13,I forgot my login details. I was having a hard time signing up. How can I help?,account_information,"I forgot my login information, can you help?"
14,I have the same login information I already have on a Google account. How can I retrieve it?,account_information,"I forgot my login information, can you help?"
15,What is username?,account_information,What is my username?
16,What is a username?,account_information,What is my username?
17,How do I find my username?,account_information,How to find username?
18,How can I find a username?,account_information,How to find username?
19,How can I find a great username?,account_information,How to find username?
20,How can I get back my password?,account_information,What is my password?
21,What is my password? What is the password?,account_information,What is my password?
22,How do I reset my password without password?,account_information,What is my password?
23,How do I recover my old password?,account_information,Can you reset my password?
24,How do I recover my password after I forget my email and password?,account_information,Can you reset my password?
25,What is the best way to reset a Password in Apple?,account_information,Can you reset my password?
26,How do I recover my password from MyGmail?,account_information,Can you reset my password?
27,I wanna buy tickets for keyword> time> for number_of_people>.. I wanna buy the tickets for keyword> time>.,book_tour,I wanna buy tickets for <keyword> <time> for <number_of_people>.
28,I wanna buy tickets for keyword> time> for number_of_people>.,book_tour,I wanna buy tickets for <keyword> <time> for <number_of_people>.
29,I wanna buy tickets for keyword> time> for number_of_people>.. for example....?,book_tour,I wanna buy tickets for <keyword> <time> for <number_of_people>.
30,How can I buy tickets for keyword> time> for number of people>?,book_tour,I wanna buy tickets for <keyword> <time> for <number_of_people>.
31,"I want to get tickets by keyword>. I am using the password for the ticket sales. If I have that option, I need to buy tickets directly from ticket sales.",book_tour,I want tickets for <keyword>.
32,I want tickets for name word>. but not password. no message.,book_tour,I want tickets for <keyword>.
33,I want tickets for keyword>. How could I do?,book_tour,I want tickets for <keyword>.
34,I want tickets for keyword>.. and I'm in S3 in Keyword>..,book_tour,I want tickets for <keyword>.
35,"Please, book a keyword> tour for number_of_people> at time>. You will receive the tour and payment for it.",book_tour,"Please, book a <keyword> tour for <number_of_people> at <time>"
36,Can we booking a number of people at a time?,book_tour,"Please, book a <keyword> tour for <number_of_people> at <time>"
37,"Please, book a keyword> tour for number_of_people> at time>. Please,...please, send a keyword> tour for number_of_people>. Please, ask for a keyword> tour. Is that possible?",book_tour,"Please, book a <keyword> tour for <number_of_people> at <time>"
38,"Please book a keyword> tour for number_of_people> at time>. Please, book a keyword> tour for number_of_people> and an estimate of ‘tour’ and time> for the tour! keyword>",book_tour,"Please, book a <keyword> tour for <number_of_people> at <time>"
