Utterance,Intent
I wanna buy tickets for KEYWORD around 3 for 3 people.,book_tour
I wanna buy tickets for KEYWORD around 3 for 1.,book_tour
I wanna buy tickets for KEYWORD around 3 for a few.,book_tour
I wanna buy tickets for KEYWORD noon for 3 people.,book_tour
I wanna buy tickets for KEYWORD noon for 1.,book_tour
I wanna buy tickets for KEYWORD noon for a few.,book_tour
I wanna buy tickets for KEYWORD 7:30pm for 3 people.,book_tour
I wanna buy tickets for KEYWORD 7:30pm for 1.,book_tour
I wanna buy tickets for KEYWORD 7:30pm for a few.,book_tour
Tell me more about Russia.,"describe_location, recommend_poi"
Tell me more about Poland.,"describe_location, recommend_poi"
Tell me more about San Fransisco.,"describe_location, recommend_poi"
Show me top attractions Russia.,"describe_location, recommend_poi"
Show me top attractions Poland.,"describe_location, recommend_poi"
Show me top attractions San Fransisco.,"describe_location, recommend_poi"
What are the top things to do in Russia?,"describe_location, recommend_poi"
What are the top things to do in Poland?,"describe_location, recommend_poi"
What are the top things to do in San Fransisco?,"describe_location, recommend_poi"
What can I do in Russia around 3?,recommend_activity
What can I do in Russia noon?,recommend_activity
What can I do in Russia 7:30pm?,recommend_activity
What can I do in Poland around 3?,recommend_activity
What can I do in Poland noon?,recommend_activity
What can I do in Poland 7:30pm?,recommend_activity
What can I do in San Fransisco around 3?,recommend_activity
What can I do in San Fransisco noon?,recommend_activity
What can I do in San Fransisco 7:30pm?,recommend_activity
I’m looking for the good KEYWORD in Russia with budget around 2 for around 3.,recommend_activity
I’m looking for the good KEYWORD in Russia with budget around 2 for noon.,recommend_activity
I’m looking for the good KEYWORD in Russia with budget around 2 for 7:30pm.,recommend_activity
I’m looking for the good KEYWORD in Russia with budget around twenty five dollars for around 3.,recommend_activity
I’m looking for the good KEYWORD in Russia with budget around twenty five dollars for noon.,recommend_activity
I’m looking for the good KEYWORD in Russia with budget around twenty five dollars for 7:30pm.,recommend_activity
I’m looking for the good KEYWORD in Russia with budget around under a thousand for around 3.,recommend_activity
I’m looking for the good KEYWORD in Russia with budget around under a thousand for noon.,recommend_activity
I’m looking for the good KEYWORD in Russia with budget around under a thousand for 7:30pm.,recommend_activity
I’m looking for the good KEYWORD in Poland with budget around 2 for around 3.,recommend_activity
I’m looking for the good KEYWORD in Poland with budget around 2 for noon.,recommend_activity
I’m looking for the good KEYWORD in Poland with budget around 2 for 7:30pm.,recommend_activity
I’m looking for the good KEYWORD in Poland with budget around twenty five dollars for around 3.,recommend_activity
I’m looking for the good KEYWORD in Poland with budget around twenty five dollars for noon.,recommend_activity
I’m looking for the good KEYWORD in Poland with budget around twenty five dollars for 7:30pm.,recommend_activity
I’m looking for the good KEYWORD in Poland with budget around under a thousand for around 3.,recommend_activity
I’m looking for the good KEYWORD in Poland with budget around under a thousand for noon.,recommend_activity
I’m looking for the good KEYWORD in Poland with budget around under a thousand for 7:30pm.,recommend_activity
I’m looking for the good KEYWORD in San Fransisco with budget around 2 for around 3.,recommend_activity
I’m looking for the good KEYWORD in San Fransisco with budget around 2 for noon.,recommend_activity
I’m looking for the good KEYWORD in San Fransisco with budget around 2 for 7:30pm.,recommend_activity
I’m looking for the good KEYWORD in San Fransisco with budget around twenty five dollars for around 3.,recommend_activity
I’m looking for the good KEYWORD in San Fransisco with budget around twenty five dollars for noon.,recommend_activity
I’m looking for the good KEYWORD in San Fransisco with budget around twenty five dollars for 7:30pm.,recommend_activity
I’m looking for the good KEYWORD in San Fransisco with budget around under a thousand for around 3.,recommend_activity
I’m looking for the good KEYWORD in San Fransisco with budget around under a thousand for noon.,recommend_activity
I’m looking for the good KEYWORD in San Fransisco with budget around under a thousand for 7:30pm.,recommend_activity
Find me some KEYWORD that's available  on Friday March 7 in Russia,recommend_activity
Find me some KEYWORD that's available  on Friday March 7 in Poland,recommend_activity
Find me some KEYWORD that's available  on Friday March 7 in San Fransisco,recommend_activity
Find me some KEYWORD that's available  on 10-12-15 in Russia,recommend_activity
Find me some KEYWORD that's available  on 10-12-15 in Poland,recommend_activity
Find me some KEYWORD that's available  on 10-12-15 in San Fransisco,recommend_activity
Find me some KEYWORD that's under 2 and available  on Friday March 7 in Russia,recommend_activity
Find me some KEYWORD that's under 2 and available  on Friday March 7 in Poland,recommend_activity
Find me some KEYWORD that's under 2 and available  on Friday March 7 in San Fransisco,recommend_activity
Find me some KEYWORD that's under 2 and available  on 10-12-15 in Russia,recommend_activity
Find me some KEYWORD that's under 2 and available  on 10-12-15 in Poland,recommend_activity
Find me some KEYWORD that's under 2 and available  on 10-12-15 in San Fransisco,recommend_activity
Find me some KEYWORD that's under twenty five dollars and available  on Friday March 7 in Russia,recommend_activity
Find me some KEYWORD that's under twenty five dollars and available  on Friday March 7 in Poland,recommend_activity
